'CONTROLE DE FIGURINHAS'        y=79.4  x=137.2
'DA                        COPA 2026'  y=115.7  x=140.6
'Página inicial'                y=182.0  x=228.6
'Fifa World Cup History'        y=182.0  x=544.2
'Grupo'                         y=200.4  x=21.7
'País'                          y=200.4  x=54.2
'00'                            y=201.4  x=144.5
'FWC1'                          y=201.4  x=171.8
'FWC2'                          y=201.4  x=206.3
'FWC3'                          y=201.4  x=240.8
'FWC4'                          y=201.4  x=275.2
'FWC5'                          y=201.4  x=309.6
'FWC6'                          y=201.4  x=344.1
'FWC7'                          y=201.4  x=378.5
'FWC8'                          y=201.4  x=413.0
'FWC9'                          y=201.4  x=447.4
'FWC10'                         y=201.4  x=479.3
'FWC11'                         y=201.4  x=513.7
'FWC12'                         y=201.4  x=548.1
'FWC13'                         y=201.4  x=582.7
'FWC14'                         y=201.4  x=617.1
'FWC15'                         y=201.4  x=651.5
'FWC16'                         y=201.4  x=685.9
'FWC17'                         y=201.4  x=720.3
'FWC18'                         y=201.4  x=754.9
'FWC19'                         y=201.4  x=789.3
'México'                        y=216.6  x=54.2
'MEX1'                          y=217.6  x=138.4
'MEX2'                          y=217.6  x=172.8
'MEX3'                          y=217.6  x=207.3
'MEX4'                          y=217.6  x=241.7
'MEX5'                          y=217.6  x=276.2
'MEX6'                          y=217.6  x=310.6
'MEX7'                          y=217.6  x=345.1
'MEX8'                          y=217.6  x=379.5
'MEX9'                          y=217.6  x=413.9
'MEX10'                         y=217.6  x=445.8
'MEX11'                         y=217.6  x=480.3
'MEX12'                         y=217.6  x=514.7
'MEX13'                         y=217.6  x=549.2
'MEX14'                         y=217.6  x=583.6
'MEX15'                         y=217.6  x=618.1
'MEX16'                         y=217.6  x=652.5
'MEX17'                         y=217.6  x=687.0
'MEX18'                         y=217.6  x=721.4
'MEX19'                         y=217.6  x=755.9
'MEX20'                         y=217.6  x=790.3
'A'                             y=229.7  x=28.1
'África do Sul'                 y=231.8  x=54.2
'RSA1'                          y=232.8  x=139.1
'RSA2'                          y=232.8  x=173.5
'RSA3'                          y=232.8  x=207.9
'RSA4'                          y=232.8  x=242.4
'RSA5'                          y=232.8  x=276.8
'RSA6'                          y=232.8  x=311.3
'RSA7'                          y=232.8  x=345.7
'RSA8'                          y=232.8  x=380.2
'RSA9'                          y=232.8  x=414.6
'RSA10'                         y=232.8  x=446.5
'RSA11'                         y=232.8  x=481.0
'RSA12'                         y=232.8  x=515.4
'RSA13'                         y=232.8  x=549.8
'RSA14'                         y=232.8  x=584.3
'RSA15'                         y=232.8  x=618.7
'RSA16'                         y=232.8  x=653.2
'RSA17'                         y=232.8  x=687.6
'RSA18'                         y=232.8  x=722.0
'RSA19'                         y=232.8  x=756.5
'RSA20'                         y=232.8  x=790.9
'Coreia do Sul'                 y=247.0  x=54.2
'KOR1'                          y=248.0  x=138.4
'KOR2'                          y=248.0  x=172.8
'KOR3'                          y=248.0  x=207.3
'KOR4'                          y=248.0  x=241.7
'KOR5'                          y=248.0  x=276.2
'KOR6'                          y=248.0  x=310.6
'KOR7'                          y=248.0  x=345.0
'KOR8'                          y=248.0  x=379.5
