code,group,num,collected,white_fraction,avg_r,avg_g,avg_b
00,00,0,no,0.8848,245,245,245
ALG1,ALG,1,no,0.8977,245,245,245
ALG2,ALG,2,yes,0.0,78,205,240
ALG3,ALG,3,yes,0.0,64,201,240
ALG4,ALG,4,yes,0.0,103,211,241
ALG5,ALG,5,yes,0.0,100,210,240
ALG6,ALG,6,no,0.8949,244,244,244
ALG7,ALG,7,yes,0.0061,66,203,240
ALG8,ALG,8,yes,0.0,101,209,239
ALG9,ALG,9,yes,0.0,93,208,241
ALG10,ALG,10,yes,0.0014,91,209,240
ALG11,ALG,11,no,0.9,243,243,243
ALG12,ALG,12,yes,0.0007,101,211,242
ALG13,ALG,13,yes,0.0078,99,211,241
ALG14,ALG,14,yes,0.0,92,206,239
ALG15,ALG,15,yes,0.0,88,208,240
ALG16,ALG,16,yes,0.0027,103,211,241
ALG17,ALG,17,no,0.8951,243,243,243
ALG18,ALG,18,yes,0.0,81,203,239
ALG19,ALG,19,yes,0.0,69,202,240
ALG20,ALG,20,yes,0.0,96,208,239
ARG1,ARG,1,no,0.8541,240,240,240
ARG2,ARG,2,no,0.8297,236,239,240
ARG3,ARG,3,yes,0.0,98,207,237
ARG4,ARG,4,no,0.852,239,239,239
ARG5,ARG,5,yes,0.0,72,200,235
ARG6,ARG,6,no,0.8434,238,238,238
ARG7,ARG,7,yes,0.0,95,205,237
ARG8,ARG,8,yes,0.0327,99,205,236
ARG9,ARG,9,yes,0.0,88,203,236
ARG10,ARG,10,no,0.7769,230,237,239
ARG11,ARG,11,no,0.8496,240,241,241
ARG12,ARG,12,yes,0.0,88,204,236
ARG13,ARG,13,no,0.8274,238,239,240
ARG14,ARG,14,yes,0.0017,78,203,237
ARG15,ARG,15,no,0.8194,236,238,238
ARG16,ARG,16,no,0.8504,239,239,239
ARG17,ARG,17,yes,0.0094,89,203,236
ARG18,ARG,18,yes,0.0,93,205,235
ARG19,ARG,19,no,0.7737,231,237,239
ARG20,ARG,20,no,0.847,239,239,239
AUS1,AUS,1,yes,0.0,76,199,232
AUS2,AUS,2,yes,0.0157,73,198,232
AUS3,AUS,3,yes,0.0532,89,201,231
AUS4,AUS,4,no,0.8063,230,234,235
AUS5,AUS,5,no,0.8587,236,236,236
AUS6,AUS,6,yes,0.0401,85,200,231
AUS7,AUS,7,yes,0.0289,78,199,232
AUS8,AUS,8,no,0.7963,230,234,235
AUS9,AUS,9,yes,0.0,72,197,231
AUS10,AUS,10,no,0.7651,225,233,235
AUS11,AUS,11,no,0.8603,235,236,236
AUS12,AUS,12,no,0.8671,237,237,237
AUS13,AUS,13,no,0.8599,236,236,236
AUS14,AUS,14,no,0.7803,227,233,234
AUS15,AUS,15,yes,0.0,77,199,232
AUS16,AUS,16,no,0.8442,234,235,235
AUS17,AUS,17,no,0.8638,236,236,236
AUS18,AUS,18,no,0.8584,236,236,236
AUS19,AUS,19,no,0.8554,235,235,235
AUS20,AUS,20,no,0.8136,232,235,236
AUT1,AUT,1,no,0.8648,236,236,236
AUT2,AUT,2,yes,0.0,88,204,235
AUT3,AUT,3,no,0.8105,230,234,235
AUT4,AUT,4,yes,0.0183,83,200,232
AUT5,AUT,5,yes,0.0,57,196,234
AUT6,AUT,6,no,0.8213,231,234,234
AUT7,AUT,7,no,0.8372,233,235,236
AUT8,AUT,8,yes,0.0,64,197,233
AUT9,AUT,9,yes,0.0,100,203,232
AUT10,AUT,10,yes,0.0054,96,203,233
AUT11,AUT,11,no,0.8105,233,238,239
AUT12,AUT,12,yes,0.0087,93,201,232
AUT13,AUT,13,yes,0.0,92,202,233
AUT14,AUT,14,yes,0.0,102,207,236
AUT15,AUT,15,yes,0.0,86,200,232
AUT16,AUT,16,no,0.833,232,234,235
AUT17,AUT,17,no,0.8199,234,237,238
AUT18,AUT,18,yes,0.0,79,196,231
AUT19,AUT,19,yes,0.0,81,199,232
AUT20,AUT,20,no,0.8631,237,237,237
BEL1,BEL,1,yes,0.0,80,203,238
BEL2,BEL,2,yes,0.0,96,208,238
BEL3,BEL,3,yes,0.0,98,208,238
BEL4,BEL,4,no,0.8618,241,241,241
BEL5,BEL,5,yes,0.0,101,208,237
BEL6,BEL,6,yes,0.0,98,207,237
BEL7,BEL,7,yes,0.0,101,208,238
BEL8,BEL,8,no,0.7184,222,236,240
BEL9,BEL,9,no,0.8113,235,238,239
BEL10,BEL,10,no,0.8565,241,241,241
BEL11,BEL,11,yes,0.0,99,209,238
BEL12,BEL,12,yes,0.0,82,202,237
BEL13,BEL,13,no,0.8571,242,242,242
BEL14,BEL,14,yes,0.0,98,207,236
BEL15,BEL,15,yes,0.0125,98,207,237
BEL16,BEL,16,no,0.8583,241,241,241
BEL17,BEL,17,yes,0.0044,106,209,237
BEL18,BEL,18,no,0.8105,234,238,239
BEL19,BEL,19,yes,0.0048,98,208,238
BEL20,BEL,20,no,0.8595,241,241,241
BIH1,BIH,1,no,0.8848,245,245,245
BIH2,BIH,2,no,0.8845,242,242,242
BIH3,BIH,3,no,0.8231,238,240,241
BIH4,BIH,4,no,0.8767,243,243,243
BIH5,BIH,5,yes,0.0252,85,205,237
BIH6,BIH,6,no,0.879,240,240,240
BIH7,BIH,7,no,0.8812,243,243,243
BIH8,BIH,8,yes,0.0036,100,209,238
BIH9,BIH,9,no,0.8763,241,241,241
BIH10,BIH,10,no,0.8549,242,243,243
BIH11,BIH,11,yes,0.0419,78,206,240
BIH12,BIH,12,no,0.8895,241,241,241
BIH13,BIH,13,no,0.8625,241,242,243
BIH14,BIH,14,no,0.8885,243,243,243
BIH15,BIH,15,no,0.8848,241,241,241
BIH16,BIH,16,yes,0.0,103,210,240
BIH17,BIH,17,yes,0.0,83,204,239
BIH18,BIH,18,yes,0.0132,88,204,237
BIH19,BIH,19,no,0.8111,237,241,242
BIH20,BIH,20,no,0.8846,240,241,241
BRA1,BRA,1,no,0.8543,241,241,241
BRA2,BRA,2,yes,0.0577,109,210,237
BRA3,BRA,3,no,0.8477,239,239,239
BRA4,BRA,4,no,0.8381,237,238,239
BRA5,BRA,5,no,0.8449,240,240,240
BRA6,BRA,6,no,0.8445,239,239,239
BRA7,BRA,7,yes,0.0,97,206,237
BRA8,BRA,8,yes,0.0,96,206,236
BRA9,BRA,9,yes,0.0683,109,206,235
BRA10,BRA,10,no,0.8488,239,239,239
BRA11,BRA,11,no,0.8567,240,240,240
BRA12,BRA,12,no,0.8553,239,239,239
BRA13,BRA,13,no,0.8504,240,240,240
BRA14,BRA,14,no,0.8486,239,239,239
BRA15,BRA,15,no,0.8484,238,238,238
BRA16,BRA,16,no,0.8488,240,240,240
BRA17,BRA,17,yes,0.0004,66,198,236
BRA18,BRA,18,yes,0.0,77,201,236
BRA19,BRA,19,yes,0.0,66,196,237
BRA20,BRA,20,yes,0.0029,97,206,237
CAN1,CAN,1,no,0.8565,241,241,241
CAN2,CAN,2,yes,0.0291,126,215,239
CAN3,CAN,3,no,0.8076,234,238,239
CAN4,CAN,4,no,0.8478,239,240,240
CAN5,CAN,5,yes,0.0,95,207,238
CAN6,CAN,6,no,0.8451,238,239,239
CAN7,CAN,7,yes,0.0012,86,203,237
CAN8,CAN,8,yes,0.0225,102,208,238
CAN9,CAN,9,yes,0.0146,106,209,237
CAN10,CAN,10,yes,0.0291,104,209,238
CAN11,CAN,11,yes,0.0,64,200,238
CAN12,CAN,12,no,0.8582,241,241,241
CAN13,CAN,13,no,0.8538,240,240,240
CAN14,CAN,14,no,0.8444,238,240,240
CAN15,CAN,15,no,0.8499,240,240,240
CAN16,CAN,16,no,0.8553,239,240,240
CAN17,CAN,17,yes,0.0094,83,204,237
CAN18,CAN,18,yes,0.0,80,200,237
CAN19,CAN,19,no,0.8543,240,240,240
CAN20,CAN,20,yes,0.0195,72,201,237
CC1,CC,1,yes,0.0034,53,197,241
CC2,CC,2,yes,0.1089,90,204,240
CC3,CC,3,yes,0.0078,57,195,240
CC4,CC,4,yes,0.0,44,190,240
CC5,CC,5,yes,0.0,62,199,240
CC6,CC,6,yes,0.0,79,205,239
CC7,CC,7,yes,0.0182,87,207,240
CC8,CC,8,no,0.8819,242,242,242
CC9,CC,9,no,0.8859,243,243,243
CC10,CC,10,no,0.8888,243,243,243
CC11,CC,11,no,0.8979,243,243,243
CC12,CC,12,no,0.8963,243,243,243
CC13,CC,13,no,0.8895,244,244,244
CC14,CC,14,no,0.8903,242,242,242
CIV1,CIV,1,yes,0.0708,110,209,235
CIV2,CIV,2,no,0.8708,238,238,238
CIV3,CIV,3,yes,0.011,69,196,233
CIV4,CIV,4,yes,0.0,72,199,234
CIV5,CIV,5,no,0.8663,237,237,237
CIV6,CIV,6,yes,0.0093,77,198,233
CIV7,CIV,7,yes,0.0,68,192,234
CIV8,CIV,8,yes,0.0,37,182,232
CIV9,CIV,9,yes,0.0,35,182,233
CIV10,CIV,10,yes,0.006,81,199,234
CIV11,CIV,11,yes,0.0532,90,201,234
CIV12,CIV,12,yes,0.0025,56,190,233
CIV13,CIV,13,no,0.8687,238,238,238
CIV14,CIV,14,yes,0.0061,77,200,233
CIV15,CIV,15,yes,0.0236,80,199,233
CIV16,CIV,16,no,0.7604,225,234,237
CIV17,CIV,17,no,0.7877,230,236,237
CIV18,CIV,18,yes,0.0175,66,192,232
CIV19,CIV,19,no,0.8664,237,237,237
CIV20,CIV,20,yes,0.0007,72,199,233
COD1,COD,1,yes,0.0,74,205,241
COD2,COD,2,yes,0.0,68,204,240
COD3,COD,3,no,0.8912,243,243,243
COD4,COD,4,no,0.8654,241,243,243
COD5,COD,5,no,0.8836,242,243,243
COD6,COD,6,yes,0.0,97,209,240
COD7,COD,7,yes,0.0207,106,212,241
COD8,COD,8,no,0.8769,242,243,243
COD9,COD,9,no,0.8881,243,243,243
COD10,COD,10,yes,0.0136,84,204,240
COD11,COD,11,no,0.895,241,242,243
COD12,COD,12,no,0.8827,243,244,244
COD13,COD,13,yes,0.0622,108,212,241
COD14,COD,14,no,0.8797,241,242,242
